Barangay_No,Barangay,x,y,Year,Month,Dengue Cases,Temperature,Humidity,Rainfall
0,ABUNO,8.1846,124.2571,2011,1,0,23.8,88.1,7.0
1,ACMAC,8.274,124.2649,2011,1,0,23.8,88.1,7.0
2,BAGONG SILANG,8.2418,124.252,2011,1,0,23.8,88.1,7.0
3,BONBONON,8.2667,124.2902,2011,1,0,23.8,88.1,7.0
4,BUNAWAN,8.3023,124.3028,2011,1,0,23.8,88.1,7.0
5,BURU-UN,8.1872,124.1688,2011,1,1,23.8,88.1,7.0
6,DALIPUGA,8.3074,124.255,2011,1,1,23.8,88.1,7.0
7,DEL CARMEN,8.2322,124.2578,2011,1,1,23.8,88.1,7.0
8,DIGKILAAN,8.2492,124.3178,2011,1,0,23.8,88.1,7.0
9,DITUCALAN,8.1751,124.1927,2011,1,1,23.8,88.1,7.0
10,HINAPLANON,8.2467,124.2592,2011,1,0,23.8,88.1,7.0
11,HINDANG,8.3177,124.3457,2011,1,0,23.8,88.1,7.0
12,KABACSANAN,8.2815,124.3088,2011,1,0,23.8,88.1,7.0
13,KIWALAN,8.2801,124.2668,2011,1,0,23.8,88.1,7.0
14,LANIPAO,8.2266,124.3412,2011,1,0,23.8,88.1,7.0
15,LUINAB,8.2472,124.2681,2011,1,0,23.8,88.1,7.0
16,MAHAYAHAY,8.2219,124.2406,2011,1,0,23.8,88.1,7.0
17,MAINIT,8.2976,124.3876,2011,1,0,23.8,88.1,7.0
18,MANDULOG,8.2442,124.3057,2011,1,0,23.8,88.1,7.0
19,MARIA CRISTINA,8.1989,124.1936,2011,1,0,23.8,88.1,7.0
20,PALAO,8.2286,124.2532,2011,1,1,23.8,88.1,7.0
21,PANOROGANAN,8.1743,124.425,2011,1,0,23.8,88.1,7.0
22,POBLACION,8.2292,124.2344,2011,1,5,23.8,88.1,7.0
23,PUGA-AN,8.2122,124.2742,2011,1,0,23.8,88.1,7.0
24,ROGONGON,8.2395,124.4115,2011,1,0,23.8,88.1,7.0
25,SAN MIGUEL,8.2387,124.2479,2011,1,3,23.8,88.1,7.0
26,SAN ROQUE,8.2578,124.2619,2011,1,0,23.8,88.1,7.0
27,SANTA ELENA,8.1948,124.2273,2011,1,0,23.8,88.1,7.0
28,SANTA FILOMENA,8.2681,124.2593,2011,1,0,23.8,88.1,7.0
29,SANTIAGO,8.2511,124.2444,2011,1,0,23.8,88.1,7.0
30,SANTO ROSARIO,8.2436,124.2525,2011,1,0,23.8,88.1,7.0
31,SARAY-TIBANGA,8.2349,124.2371,2011,1,0,23.8,88.1,7.0
32,SUAREZ,8.1914,124.2173,2011,1,2,23.8,88.1,7.0
33,TAMBACAN,8.2236,124.2347,2011,1,4,23.8,88.1,7.0
